actor_2_name,actor_2_name,proportion
Cameron Mills,1,0.026624068157614485
Cameron Monaghan,1,0.026624068157614485
Camryn Manheim,2,0.05324813631522897
Cara Delevingne,4,0.10649627263045794
Carl Gilliard,1,0.026624068157614485
Carla Gallo,1,0.026624068157614485
Carlos Ponce,2,0.05324813631522897
Carly Schroeder,1,0.026624068157614485
Carmen Electra,5,0.13312034078807242
Carol Kane,3,0.07987220447284345
Carrie Henn,1,0.026624068157614485
Carroll Baker,1,0.026624068157614485
Carter Jenkins,1,0.026624068157614485
Cary-Hiroyuki Tagawa,5,0.13312034078807242
Cas Anvar,1,0.026624068157614485
Casey Kasem,1,0.026624068157614485
Casey Siemaszko,1,0.026624068157614485
Cassidy Gifford,1,0.026624068157614485
Catherine McCormack,2,0.05324813631522897
Catherine O'Hara,4,0.10649627263045794
Catherine Tate,1,0.026624068157614485
Cathy Moriarty,4,0.10649627263045794
Cecil Kellaway,1,0.026624068157614485
Cedric the Entertainer,3,0.07987220447284345
Celia Imrie,1,0.026624068157614485
Celia Weston,4,0.10649627263045794
Chad Allen,1,0.026624068157614485
Chad Lindberg,2,0.05324813631522897
Chandler Canterbury,1,0.026624068157614485
Channing Tatum,3,0.07987220447284345
Charles Linton,1,0.026624068157614485
Charles Napier,2,0.05324813631522897
Charles S. Dutton,3,0.07987220447284345
Charlie Bewley,1,0.026624068157614485
Charlie Rowe,1,0.026624068157614485
Charlie Saxton,1,0.026624068157614485
Charlie Tahan,2,0.05324813631522897
Charlie Yeung,1,0.026624068157614485
Charlize Theron,14,0.3727369542066028
Charlotte Le Bon,1,0.026624068157614485
Charlotte Rampling,1,0.026624068157614485
Chatchai Plengpanich,1,0.026624068157614485
Chazz Palminteri,7,0.1863684771033014
Cheech Marin,5,0.13312034078807242
Chelsea Field,1,0.026624068157614485
Chen Chang,1,0.026624068157614485
Cherry Jones,1,0.026624068157614485
Cheryl Hines,1,0.026624068157614485
Cheryl Ladd,1,0.026624068157614485
Cheryl Tiegs,1,0.026624068157614485
Chi Ling Chiu,1,0.026624068157614485
Chi McBride,3,0.07987220447284345
Chita Rivera,1,0.026624068157614485
Chloë Grace Moretz,4,0.10649627263045794
Chris Bauer,3,0.07987220447284345
Chris Brochu,1,0.026624068157614485
Chris Brown,1,0.026624068157614485
Chris Elliott,1,0.026624068157614485
Chris Evans,3,0.07987220447284345
Chris Kattan,1,0.026624068157614485
Chris Klein,4,0.10649627263045794
Chris Miller,1,0.026624068157614485
Chris Mulkey,1,0.026624068157614485
Chris New,1,0.026624068157614485
Chris Noth,2,0.05324813631522897
Chris Owen,1,0.026624068157614485
Chris Penn,5,0.13312034078807242
Chris Pontius,1,0.026624068157614485
Christa B. Allen,1,0.026624068157614485
Christa Miller,1,0.026624068157614485
Christel Khalil,1,0.026624068157614485
Christian Bale,5,0.13312034078807242
Christian Camargo,2,0.05324813631522897
Christian Stolte,1,0.026624068157614485
Christina Milian,3,0.07987220447284345
Christine Cavanaugh,1,0.026624068157614485
Christine Taylor,1,0.026624068157614485
Christoph Waltz,3,0.07987220447284345
Christopher Cousins,2,0.05324813631522897
Christopher Evan Welch,1,0.026624068157614485
Christopher Guest,1,0.026624068157614485
Christopher Heyerdahl,1,0.026624068157614485
Christopher Lee,5,0.13312034078807242
Christopher Masterson,1,0.026624068157614485
Christopher Meloni,3,0.07987220447284345
Christopher Webster,1,0.026624068157614485
Chulpan Khamatova,1,0.026624068157614485
Cicely Tyson,2,0.05324813631522897
Cinda McCain,1,0.026624068157614485
Cjon Saulsberry,2,0.05324813631522897
Claire Foy,1,0.026624068157614485
Claire Geare,1,0.026624068157614485
Clarence Williams III,2,0.05324813631522897
Clarke Peters,1,0.026624068157614485
Claudia Stedelin,1,0.026624068157614485
Claudiu Trandafir,1,0.026624068157614485
Clayne Crawford,2,0.05324813631522897
Clea DuVall,6,0.1597444089456869
Clemens Schick,1,0.026624068157614485
Cliff Robertson,1,0.026624068157614485
Clifton Collins Jr.,5,0.13312034078807242
Clifton James,1,0.026624068157614485
Clint Howard,3,0.07987220447284345
Clint Mansell,1,0.026624068157614485
Clotilde Mollet,1,0.026624068157614485
Clu Gulager,1,0.026624068157614485
Cole Hauser,5,0.13312034078807242
Colin Firth,3,0.07987220447284345
Colin O'Donoghue,1,0.026624068157614485
Colin Salmon,4,0.10649627263045794
Colleen O'Shaughnessey,1,0.026624068157614485
Collette Wolfe,1,0.026624068157614485
Collin Chou,1,0.026624068157614485
Colm Feore,2,0.05324813631522897
Common,4,0.10649627263045794
Conchata Ferrell,1,0.026624068157614485
Connie Nielsen,3,0.07987220447284345
Constance Marie,2,0.05324813631522897
Constance Shulman,1,0.026624068157614485
Corbin Bernsen,1,0.026624068157614485
Corbin Bleu,1,0.026624068157614485
Costas Mandylor,3,0.07987220447284345
Courtney B. Vance,1,0.026624068157614485
Coyote Shivers,1,0.026624068157614485
Craig Bierko,2,0.05324813631522897
Craig Roberts,1,0.026624068157614485
Craig T. Nelson,1,0.026624068157614485
Cree Kelly,1,0.026624068157614485
Cree Summer,2,0.05324813631522897
Crystal Lowe,1,0.026624068157614485
Currie Graham,1,0.026624068157614485
Curtis Armstrong,4,0.10649627263045794
Curtiss Cook,2,0.05324813631522897
Cynthia Myers,1,0.026624068157614485
Cynthia Rhodes,1,0.026624068157614485
Cyril Raffaelli,1,0.026624068157614485
Cécile De France,1,0.026624068157614485
D. David Morin,1,0.026624068157614485
D.B. Sweeney,2,0.05324813631522897
Dagmara Dominczyk,2,0.05324813631522897
Dalia Hernández,1,0.026624068157614485
Dallas Roberts,1,0.026624068157614485
Damien Garvey,1,0.026624068157614485
Damon Wayans Jr.,2,0.05324813631522897
Dan Byrd,1,0.026624068157614485
Dan Fogler,2,0.05324813631522897
Dan Futterman,1,0.026624068157614485
Dan Hedaya,2,0.05324813631522897
Dan Hicks,2,0.05324813631522897
Dan O'Herlihy,1,0.026624068157614485
Dana Delany,1,0.026624068157614485
Dana Ivey,1,0.026624068157614485
Dana Kimmell,1,0.026624068157614485
Dane Cook,1,0.026624068157614485
Dania Ramirez,2,0.05324813631522897
Daniel Auteuil,1,0.026624068157614485
Daniel Bernhardt,1,0.026624068157614485
Daniel Giménez Cacho,1,0.026624068157614485
Daniel Henney,1,0.026624068157614485
Daniel Radcliffe,3,0.07987220447284345
Daniel Roebuck,2,0.05324813631522897
Daniel Sharman,1,0.026624068157614485
Daniel Stern,3,0.07987220447284345
Daniel Stewart Sherman,1,0.026624068157614485
Daniel von Bargen,2,0.05324813631522897
Daniela Bianchi,1,0.026624068157614485
Daniella Alonso,2,0.05324813631522897
Dann Florek,1,0.026624068157614485
Danneel Ackles,1,0.026624068157614485
Danny Dyer,1,0.026624068157614485
Danny Huston,3,0.07987220447284345
Danny Masterson,1,0.026624068157614485
Danny Nucci,1,0.026624068157614485
Danny Pino,1,0.026624068157614485
Danny Woodburn,3,0.07987220447284345
Dany Boon,2,0.05324813631522897
Darren Shahlavi,1,0.026624068157614485
Darryl Cox,1,0.026624068157614485
Dash Mihok,3,0.07987220447284345
Dave Chappelle,4,0.10649627263045794
Dave Foley,1,0.026624068157614485
Dave Legeno,1,0.026624068157614485
David A.R. White,1,0.026624068157614485
David Agranov,1,0.026624068157614485
David Alan Basche,1,0.026624068157614485
David Bailie,1,0.026624068157614485
David Calder,1,0.026624068157614485
David Carradine,1,0.026624068157614485
David Costabile,3,0.07987220447284345
David Denman,1,0.026624068157614485
David Fine,2,0.05324813631522897
David Gallagher,1,0.026624068157614485
David Gulpilil,1,0.026624068157614485
David Hewlett,1,0.026624068157614485
David Huddleston,1,0.026624068157614485
David Hyde Pierce,1,0.026624068157614485
David Keith,1,0.026624068157614485
David Kelly,2,0.05324813631522897
David Kennedy,1,0.026624068157614485
David Kross,1,0.026624068157614485
David Margulies,1,0.026624068157614485
David Murray,1,0.026624068157614485
David O'Hara,1,0.026624068157614485
David Oyelowo,2,0.05324813631522897
David Patrick Kelly,1,0.026624068157614485
David Rasche,1,0.026624068157614485
David Sparrow,1,0.026624068157614485
David Suchet,1,0.026624068157614485
David Sullivan,1,0.026624068157614485
David Warbeck,1,0.026624068157614485
David Zayas,1,0.026624068157614485
Dawn French,1,0.026624068157614485
Dax Flame,1,0.026624068157614485
Dean Jones,1,0.026624068157614485
Dean Stockwell,1,0.026624068157614485
Debbie Reynolds,1,0.026624068157614485
Debi Mazar,4,0.10649627263045794
Deborah Foreman,1,0.026624068157614485
Deborah Kara Unger,3,0.07987220447284345
Deborah Twiss,1,0.026624068157614485
Deborra-Lee Furness,1,0.026624068157614485
Debra Messing,3,0.07987220447284345
Debra Winger,1,0.026624068157614485
Dee Bradley Baker,1,0.026624068157614485
Dee Wallace,2,0.05324813631522897
Delroy Lindo,6,0.1597444089456869
Demi Moore,6,0.1597444089456869
Demián Bichir,1,0.026624068157614485
Deneen Tyler,1,0.026624068157614485
Denholm Elliott,1,0.026624068157614485
Denis Leary,1,0.026624068157614485
Denis O'Hare,3,0.07987220447284345
Dennis Quaid,7,0.1863684771033014
Denzel Washington,2,0.05324813631522897
Dequina Moore,1,0.026624068157614485
Derek Jacobi,3,0.07987220447284345
Derek Luke,1,0.026624068157614485
Derek Mears,1,0.026624068157614485
Desmond Llewelyn,2,0.05324813631522897
Devin Ratray,2,0.05324813631522897
Devon Murray,1,0.026624068157614485
Dexter Fletcher,1,0.026624068157614485
Dian Bachar,1,0.026624068157614485
Diana Ross,1,0.026624068157614485
Diane Ladd,1,0.026624068157614485
Dianne Wiest,2,0.05324813631522897
Dick Clark,1,0.026624068157614485
Dick Powell,1,0.026624068157614485
Dick Van Patten,1,0.026624068157614485
Dickie Jones,1,0.026624068157614485
Diedrich Bader,5,0.13312034078807242
Dilshad Vadsaria,1,0.026624068157614485
Dirk Bogarde,1,0.026624068157614485
Djimon Hounsou,3,0.07987220447284345
Dom DeLuise,1,0.026624068157614485
Domenick Lombardozzi,1,0.026624068157614485
Dominic Cooper,4,0.10649627263045794
Don Cheadle,4,0.10649627263045794
Don Johnson,1,0.026624068157614485
Don Pardo,1,0.026624068157614485
Don Rickles,1,0.026624068157614485
Donald Austin,1,0.026624068157614485
Donald Faison,5,0.13312034078807242
Donald Gibb,1,0.026624068157614485
Donald Glover,1,0.026624068157614485
Donald Pleasence,3,0.07987220447284345
Donald Watkins,1,0.026624068157614485
Dong-gun Jang,1,0.026624068157614485
Donna Murphy,1,0.026624068157614485
Dorian Missick,4,0.10649627263045794
Dorothy Lamour,1,0.026624068157614485
Doug E. Doug,1,0.026624068157614485
Douglas Haase,1,0.026624068157614485
Dougray Scott,5,0.13312034078807242
Dr. Dre,1,0.026624068157614485
Drea de Matteo,1,0.026624068157614485
Dreama Walker,1,0.026624068157614485
Drew Carey,1,0.026624068157614485
Drew Waters,2,0.05324813631522897
Dulé Hill,1,0.026624068157614485
Dustin Fitzsimons,1,0.026624068157614485
Dustin Nguyen,1,0.026624068157614485
Dwayne Johnson,3,0.07987220447284345
Dwight Yoakam,3,0.07987220447284345
Dyan Cannon,1,0.026624068157614485
Dylan Baker,4,0.10649627263045794
Dylan Minnette,3,0.07987220447284345
Dylan Moran,1,0.026624068157614485
Dylan Walsh,1,0.026624068157614485
Earl Cameron,1,0.026624068157614485
Eartha Kitt,2,0.05324813631522897
Ed Lauter,1,0.026624068157614485
Ed Skrein,1,0.026624068157614485
Ed Speleers,1,0.026624068157614485
Eddie 'Piolin' Sotelo,1,0.026624068157614485
Eddie Cibrian,1,0.026624068157614485
Eddie Deezen,1,0.026624068157614485
Eddie Griffin,6,0.1597444089456869
Eddie Izzard,1,0.026624068157614485
Eddie Jones,1,0.026624068157614485
Eddie Marsan,7,0.1863684771033014
Eddie Redmayne,2,0.05324813631522897
Eddie Rouse,1,0.026624068157614485
Edgar Ramírez,5,0.13312034078807242
Edi Gathegi,1,0.026624068157614485
Edie Falco,1,0.026624068157614485
Eduardo Noriega,1,0.026624068157614485
Eduardo Verástegui,1,0.026624068157614485
Edward Everett Horton,1,0.026624068157614485
Edwin Hodge,1,0.026624068157614485
Edwin Neal,2,0.05324813631522897
Elaine Cassidy,1,0.026624068157614485
Elaine Hendrix,1,0.026624068157614485
Elden Henson,1,0.026624068157614485
Elena Anaya,2,0.05324813631522897
Elijah Kelley,1,0.026624068157614485
Elio Germano,1,0.026624068157614485
Elizabeth Berkley,3,0.07987220447284345
Elizabeth Blackmore,1,0.026624068157614485
Elizabeth Daily,1,0.026624068157614485
Elizabeth Debicki,3,0.07987220447284345
Elizabeth McGovern,1,0.026624068157614485
Elizabeth Meriwether,1,0.026624068157614485
Elizabeth Perkins,4,0.10649627263045794
Ella Wahlestedt,1,0.026624068157614485
Ellen Albertini Dow,2,0.05324813631522897
Ellen Barkin,1,0.026624068157614485
Ellen Burstyn,3,0.07987220447284345
Elliott Gould,1,0.026624068157614485
Elodie Yung,1,0.026624068157614485
Elton John,1,0.026624068157614485
Embeth Davidtz,3,0.07987220447284345
Emilia Clarke,2,0.05324813631522897
Emily Alyn Lind,1,0.026624068157614485
Emily Meade,2,0.05324813631522897
Emily Pearson,1,0.026624068157614485
Emily Ratajkowski,1,0.026624068157614485
Emily Watson,3,0.07987220447284345
Emily Wickersham,1,0.026624068157614485
Emma Caulfield,1,0.026624068157614485
Emma Kenney,1,0.026624068157614485
Emma Stone,2,0.05324813631522897
Emma Watson,1,0.026624068157614485
Emma de Caunes,1,0.026624068157614485
Emmanuelle Riva,1,0.026624068157614485
Enrico Colantoni,3,0.07987220447284345
Enrique Villén,1,0.026624068157614485
Eric Idle,3,0.07987220447284345
Eric Jacobson,1,0.026624068157614485
Eric Johnson,1,0.026624068157614485
Eric Lloyd,1,0.026624068157614485
Eric Schweig,1,0.026624068157614485
Eric Stoltz,4,0.10649627263045794
Eric Stonestreet,2,0.05324813631522897
Eric Winter,1,0.026624068157614485
Erica Leerhsen,1,0.026624068157614485
Erik Per Sullivan,2,0.05324813631522897
Erika Christensen,1,0.026624068157614485
Erin Bethea,1,0.026624068157614485
Erin Boyes,1,0.026624068157614485
Essence Atkins,2,0.05324813631522897
Estella Warren,3,0.07987220447284345
Ethan Embry,4,0.10649627263045794
Ethan Suplee,2,0.05324813631522897
Eva Amurri Martino,2,0.05324813631522897
Eva Green,1,0.026624068157614485
Eva LaRue,1,0.026624068157614485
Eva Marie Saint,1,0.026624068157614485
Evan Ross,1,0.026624068157614485
Eve,1,0.026624068157614485
Eve Plumb,1,0.026624068157614485
Evelyn Jefferson,1,0.026624068157614485
Everett Sloane,1,0.026624068157614485
Ewen Bremner,4,0.10649627263045794
Ezra Miller,1,0.026624068157614485
F. Murray Abraham,4,0.10649627263045794
Faizon Love,3,0.07987220447284345
Fana Mokoena,1,0.026624068157614485
Fares Fares,1,0.026624068157614485
Faye Dunaway,2,0.05324813631522897
Fedja van Huêt,1,0.026624068157614485
Felicity Huffman,3,0.07987220447284345
Fernanda Machado,1,0.026624068157614485
Finn Wittrock,1,0.026624068157614485
Fiona Glascott,1,0.026624068157614485
Fiona Shaw,1,0.026624068157614485
Fionnula Flanagan,2,0.05324813631522897
Firass Dirani,1,0.026624068157614485
Fisher Stevens,3,0.07987220447284345
Flea,1,0.026624068157614485
Frances Conroy,3,0.07987220447284345
Frances Fisher,3,0.07987220447284345
Frances Lee McCain,1,0.026624068157614485
Frances O'Connor,2,0.05324813631522897
Francis Capra,1,0.026624068157614485
Frank Finlay,1,0.026624068157614485
