genres,genres,proportion
Biography|Crime|Drama|History,1,0.026624068157614485
Biography|Crime|Drama|History|Music,1,0.026624068157614485
Biography|Crime|Drama|History|Romance,1,0.026624068157614485
Biography|Crime|Drama|History|Thriller,1,0.026624068157614485
Biography|Crime|Drama|History|Western,1,0.026624068157614485
Biography|Crime|Drama|Music,1,0.026624068157614485
Biography|Crime|Drama|Mystery|Thriller,1,0.026624068157614485
Biography|Crime|Drama|Romance,2,0.05324813631522897
Biography|Crime|Drama|Romance|Thriller,1,0.026624068157614485
Biography|Crime|Drama|Thriller,4,0.10649627263045794
Biography|Crime|Drama|War,1,0.026624068157614485
Biography|Crime|Drama|Western,1,0.026624068157614485
Biography|Documentary,1,0.026624068157614485
Biography|Documentary|History,1,0.026624068157614485
Biography|Documentary|Sport,1,0.026624068157614485
Biography|Drama,29,0.77209797657082
Biography|Drama|Family,1,0.026624068157614485
Biography|Drama|Family|History|Sport,1,0.026624068157614485
Biography|Drama|Family|Musical|Romance,1,0.026624068157614485
Biography|Drama|Family|Sport,1,0.026624068157614485
Biography|Drama|History,20,0.5324813631522897
Biography|Drama|History|Music,1,0.026624068157614485
Biography|Drama|History|Musical,1,0.026624068157614485
Biography|Drama|History|Romance,9,0.23961661341853036
Biography|Drama|History|Sport,2,0.05324813631522897
Biography|Drama|History|Thriller,2,0.05324813631522897
Biography|Drama|History|Thriller|War,1,0.026624068157614485
Biography|Drama|History|War,5,0.13312034078807242
Biography|Drama|Music,10,0.26624068157614483
Biography|Drama|Music|Musical,4,0.10649627263045794
Biography|Drama|Music|Romance,2,0.05324813631522897
Biography|Drama|Romance,15,0.3993610223642172
Biography|Drama|Romance|Sport,2,0.05324813631522897
Biography|Drama|Romance|War,1,0.026624068157614485
Biography|Drama|Sport,23,0.6123535676251332
