director_name,director_name,proportion
Drew Barrymore,1,0.026624068157614485
Drew Goddard,1,0.026624068157614485
Duke Johnson,1,0.026624068157614485
Duncan Jones,3,0.07987220447284345
Duncan Tucker,1,0.026624068157614485
Dustin Hoffman,1,0.026624068157614485
Dwight H. Little,2,0.05324813631522897
E. Elias Merhige,2,0.05324813631522897
E.L. Katz,1,0.026624068157614485
Ed Decter,1,0.026624068157614485
Ed Gass-Donnelly,1,0.026624068157614485
Ed Harris,1,0.026624068157614485
Eddie O'Flaherty,1,0.026624068157614485
Edgar Wright,4,0.10649627263045794
Edward Burns,2,0.05324813631522897
Edward Norton,1,0.026624068157614485
Edward Zwick,8,0.21299254526091588
Efram Potelle,1,0.026624068157614485
Ekachai Uekrongtham,1,0.026624068157614485
Elaine May,1,0.026624068157614485
Eli Roth,3,0.07987220447284345
Elia Kazan,1,0.026624068157614485
Elizabeth Allen Rosenbaum,2,0.05324813631522897
Elizabeth Banks,2,0.05324813631522897
Ellory Elkayem,1,0.026624068157614485
Emile Ardolino,1,0.026624068157614485
Emilio Estevez,1,0.026624068157614485
Eric Blakeney,1,0.026624068157614485
Eric Bress,1,0.026624068157614485
Eric Brevig,2,0.05324813631522897
Eric Bross,1,0.026624068157614485
Eric Darnell,5,0.13312034078807242
Eric Leighton,1,0.026624068157614485
Eric Nicholas,1,0.026624068157614485
Eric Schaeffer,1,0.026624068157614485
Eric Valette,1,0.026624068157614485
Ericson Core,2,0.05324813631522897
Ernest R. Dickerson,1,0.026624068157614485
Etan Cohen,1,0.026624068157614485
Ethan Coen,7,0.1863684771033014
Ethan Maniquis,1,0.026624068157614485
Eugenio Derbez,1,0.026624068157614485
Eugène Lourié,1,0.026624068157614485
Evan Goldberg,2,0.05324813631522897
F. Gary Gray,8,0.21299254526091588
Fabián Bielinsky,1,0.026624068157614485
Fede Alvarez,1,0.026624068157614485
Fenton Bailey,2,0.05324813631522897
Fernando León de Aranoa,1,0.026624068157614485
Fernando Meirelles,3,0.07987220447284345
Fina Torres,1,0.026624068157614485
Finn Taylor,1,0.026624068157614485
Florent-Emilio Siri,1,0.026624068157614485
Floria Sigismondi,1,0.026624068157614485
