plot_keywords,plot_keywords,proportion
adult returns home|girl with glasses|hipster|shower|title directed by female,1,0.026624068157614485
adulterous wife|bar|dysfunctional marriage|sex offender|suburb,1,0.026624068157614485
adulterous wife|bipolar disorder|obsessive compulsive personality disorder|unhappy marriage|widow,1,0.026624068157614485
adulterous wife|cheating wife|summer|unfaithfulness|woodstock,1,0.026624068157614485
adultery|argument|older woman younger man relationship|oral sex|sex scene,1,0.026624068157614485
adultery|attraction|lust|obsession|temptation,1,0.026624068157614485
adultery|based on novel|heart transplant|infidelity|protective male,1,0.026624068157614485
adultery|black humor|dentist|hitman|sex in bed,1,0.026624068157614485
adultery|daughter|male rear nudity|new zealand|piano,1,0.026624068157614485
adultery|extramarital affair|infidelity|unfaithfulness|writer,1,0.026624068157614485
adventurer|el dorado|gold|high priest|implied sex,1,0.026624068157614485
advertising executive|diamond|magazine|party|wager,1,0.026624068157614485
advertising|advertising executive|commercial|protective male|twins,1,0.026624068157614485
advertising|bar|dating|lingerie slip|six word title,1,0.026624068157614485
advertising|battle of the sexes|dating|one word title|womanizer,1,0.026624068157614485
advertising|battle of the sexes|ex husband ex wife relationship|pantyhose|telepathy,1,0.026624068157614485
advertising|cancer|dog|san francisco california|terminal illness,1,0.026624068157614485
advice|battle of the sexes|lingerie|romantic rivalry|rule,1,0.026624068157614485
advice|black romance|hip hop|reading a book|sex scene,1,0.026624068157614485
advice|friendship|gossip|newspaper|quitting a job,1,0.026624068157614485
affair|car crash|enforcer|funeral|murder,1,0.026624068157614485
affair|divorce|graduation|vomiting|watching television,1,0.026624068157614485
affair|interview|marriage|sex|videotape,1,0.026624068157614485
affection|boy|fairy|future|robot,1,0.026624068157614485
afghanistan|arms dealer|based on true story|cia|texas,1,0.026624068157614485
afghanistan|based on novel|boy|friend|kite,1,0.026624068157614485
afghanistan|billionaire|inventor|playboy|u.s. air force,1,0.026624068157614485
afghanistan|caravan|rebel|russian|tribe,1,0.026624068157614485
afghanistan|colonel|rambo|rescue|soviet,1,0.026624068157614485
