actor_1_name,actor_1_name,proportion
Bobbie Phillips,1,0.026624068157614485
Bobby Lee,1,0.026624068157614485
Bojana Novakovic,3,0.07987220447284345
Bokeem Woodbine,2,0.05324813631522897
Bolo Yeung,2,0.05324813631522897
Bono,1,0.026624068157614485
Boris Kodjoe,3,0.07987220447284345
Brad Garrett,1,0.026624068157614485
Brad Pitt,17,0.45260915867944623
Brad William Henke,1,0.026624068157614485
Bradley Cooper,13,0.34611288604898827
Bradley Whitford,1,0.026624068157614485
Brandon T. Jackson,1,0.026624068157614485
Brenda Fricker,1,0.026624068157614485
Brenda Song,1,0.026624068157614485
Brendan Doogie Milewski,1,0.026624068157614485
Brendan Fehr,1,0.026624068157614485
Brendan Fraser,12,0.3194888178913738
Brian Blessed,1,0.026624068157614485
Brian Bosworth,1,0.026624068157614485
Brian Dennehy,4,0.10649627263045794
Brian Thompson,1,0.026624068157614485
Bridgette Wilson-Sampras,1,0.026624068157614485
Brighton Sharbino,1,0.026624068157614485
Brigitte Helm,1,0.026624068157614485
Britney Spears,2,0.05324813631522897
Brittany Daniel,2,0.05324813631522897
Bruce Greenwood,7,0.1863684771033014
Bruce McGill,2,0.05324813631522897
Bruce Spence,2,0.05324813631522897
Bruce Willis,29,0.77209797657082
Bruno Kirby,1,0.026624068157614485
Bryce Dallas Howard,4,0.10649627263045794
Bunta Sugawara,1,0.026624068157614485
Burt Young,1,0.026624068157614485
Busy Philipps,4,0.10649627263045794
Byron Mann,1,0.026624068157614485
Bérénice Bejo,1,0.026624068157614485
CCH Pounder,4,0.10649627263045794
Caitlin Stasey,1,0.026624068157614485
Caleb Landry Jones,1,0.026624068157614485
Callie Thorne,1,0.026624068157614485
Callum Rennie,3,0.07987220447284345
Cameron Bright,1,0.026624068157614485
Cameron Monaghan,1,0.026624068157614485
Campbell Scott,1,0.026624068157614485
Candice Bergen,1,0.026624068157614485
Carlos Gallardo,1,0.026624068157614485
Carlos Ponce,1,0.026624068157614485
Carmen Electra,3,0.07987220447284345
Carmen Perez,1,0.026624068157614485
Carol Ann Susi,1,0.026624068157614485
Carol Kane,1,0.026624068157614485
Carole Bouquet,1,0.026624068157614485
Caroline Dhavernas,1,0.026624068157614485
Caroline Munro,1,0.026624068157614485
Cary-Hiroyuki Tagawa,5,0.13312034078807242
Cassie Ventura,1,0.026624068157614485
Catalina Sandino Moreno,1,0.026624068157614485
Catherine Deneuve,6,0.1597444089456869
Catherine Dyer,1,0.026624068157614485
Catherine Hicks,1,0.026624068157614485
Catherine Lough Haggquist,1,0.026624068157614485
Catherine O'Hara,6,0.1597444089456869
Catriona MacColl,1,0.026624068157614485
Cedric the Entertainer,2,0.05324813631522897
Celia Imrie,1,0.026624068157614485
Cem Yilmaz,1,0.026624068157614485
Channing Tatum,17,0.45260915867944623
Charis Michelsen,1,0.026624068157614485
